url,fid,name,nick,birth_date,height,weight,association,class,locality,country,
/fighter/Thomas-Ramirez-125,125,Thomas Ramirez,,,73,410,,Super Heavyweight,Bayamon,Puerto Rico,
/fighter/Onassis-Parungao-116,116,Onassis Parungao,,,,,,N/A,,,
/fighter/Francesco-Maturi-117,117,Francesco Maturi,Fang,,75,235,,Heavyweight,"Moorehead, Minnesota",United States,
/fighter/Roland-Payne-42,42,Roland Payne,,7/16/1964,69,205,,Light Heavyweight,"Charlotte, North Carolina",United States,
/fighter/Alberto-Cerra-Leon-37,37,Alberto Cerra Leon,,,68,231,,Heavyweight,Lemoa,Spain,
/fighter/Ernie-Verdicia-63,63,Ernie Verdicia,,,70,219,,Heavyweight,"Miami, Florida",United States,
/fighter/HeMan-Ali-Gipson-109,109,He-Man Ali Gipson,,3/1/1973,,216,,Heavyweight,"Las Vegas, Nevada",United States,
/fighter/Andy-Anderson-60,60,Andy Anderson,The Hammer,7/16/1964,69,240,,Heavyweight,"Arlington, Texas",United States,
/fighter/Eldo-Dias-Xavier-55,55,Eldo Dias Xavier,,7/16/1964,71,180,,Middleweight,,Brazil,
/fighter/Robert-Lucarelli-32,32,Robert Lucarelli,,,74,245,,Heavyweight,"Schenectady, New York",United States,
/fighter/Thaddeus-Luster-30,30,Thaddeus Luster,,,75,200,,Light Heavyweight,"Van Nuys, California",United States,
/fighter/Frank-Hamaker-29,29,Frank Hamaker,,,74,245,,Heavyweight,Amsterdam,Netherlands,
/fighter/Ryan-Parker-119,119,Ryan Parker,,,75,235,,Heavyweight,"Moorehead, Minnesota",United States,
/fighter/Marcus-Davis-8592,8592,Marcus Davis,The Irish Hand Grenade,8/24/1973,68,170,Team Irish,Welterweight,"Bangor, Maine",United States,
/fighter/John-Alessio-259,259,John Alessio,The Natural,7/5/1979,70,155,Xtreme Couture,Lightweight,"Vancouver, British Columbia",Canada,
